text,assigned_sdgs,max_similarity_score,primary_assignments,secondary_assignments,total_assignments
"From a gender perspective, Paulgaard points out that the labour markets of the fishing villages have been highly gender-segregated in terms of the existence of ""male jobs"" and ""female jobs""; however, the new business opportunities have led to the male population of the peripheral areas now working in the service industry in former ""female jobs"": ""That boys and girls are doing the same jobs indicates change, because traditional boundaries between women and men's work are being crossed. But the fact that young people are still working represents continuity with the past"" (Paulgaard 2002: 102). When Paulgaard refers to continuity with traditions, she refers to the expectations of young adults to participate in adult culture, thus these fishing villages traditionally have no actual youth culture. As described earlier, Paulgaard (2015) concludes that in some of Norway's peripheral areas school is still 'foreign', a time waster stealing time from young adults who should instead spend their time on what is considered to be ""real"" work.",[],0.2793841,0,0,0
"The average figure also masks large differences across regions in Kazakhstan. The number of annual contacts ranges from 2.0 in Astana to 9.7 in Mangystau, and some parts of the population are likely to have very limited access to primary care. In addition, poor coverage of outpatient prescription medicines limits both the effectiveness (and appeal) of care at PHC level.",[],0.16939348,0,0,0
The Israel Oceanographic and Limnological Research station monitors the quantity and quality of water along the coastline of the Mediterranean Sea. The Nature and Parks Authority (NPA) monitors water quality in rivers on behalf of the MoEP. Mekorot and local authorities monitor drinking water quality under the supervision of the Ministry of Health. The Ministry of Health monitors effluent quality prior to its use in the agricultural sector.,[],0.29759726,0,0,0
"Previous chapters have discussed ways to make food systems more supportive of food security and better nutrition. Nutrition-sensitive food systems can give consumers better options, but ultimately it is consumers who choose what they eat. What consumers choose to eat influences their own nutritional outcomes and sends signals back through the food system - to retailers, processors and producers - that shape both what is produced and how sustainably it is produced.","['2', '12']",0.5127536,2,0,2
Prescription rates appear to be higher where labour force participation is lower. There is also a possible relationship between drug use and disability. This may arise after the definition of disability was extended to include chronic conditions. Krueger (2017(47)) found that around one-fifth of the non-participating prime age males were also regularly taking opioid painkillers.,[],0.15324698,0,0,0
"By contrast, the share of working-age households with a working man remained relatively stable (at 76%) over time in most countries (Panel A). Germany, nevertheless, witnessed a significant decline (by about 15 percentage points) in men’s employment participation among households during this period. A. Households with a male worker Panel. In Spain, for instance, in 1995 only 22% (25%) of households had a woman working full-time (full-year), compared to 42% (52%) in the year prior to the crisis. Dutch women are now working more weeks per year, though not more hours per week.",[],0.26640186,0,0,0
"Parents pay a maximum fee for kindergarten only (between 15.8% and 22.5% of total costs in 2011, depending on whether the kindergarten is public or private). Counties are responsible for upper secondary education, which they finance through taxes and block grants. Costs in this sector vary considerably from one region to another. Additional state subsidies and provisions are given to avoid regional disparities. Private kindergartens (50% of all kindergartens) are also financed by the state through the block grants to municipalities.",[],0.19787526,0,0,0
"For those individuals, out-of-pocket expenses average 78% of average annual income in rural areas, even with the new insurance system. For most of the decade to 2003, the number of visits to township medical centres (hospitals) had been falling, while in urban areas a similar institution did not exist. The two new insurance-based schemes were accompanied by a strategy to orient people to existing township centres and to create new urban community health centres at the level of the neighbourhood committee.",[],0.21757236,0,0,0
"In the present case, LCOE were calculated including a carbon price of USD 30 per tonne of CO2. The advantage of nuclear energy in this context is that its average cost remains very stable in the light of changes in the fuel or in the carbon price. In particular, it is protected against fuel price changes by the low proportion of fuel costs in the total lifetime costs of nuclear power generation. Overnight costs include construction and contingency costs but exclude IDC.",['7'],0.3174729,0,1,1
"It builds on the nine years of basic education (six years of primary school and three years of junior secondary school). Students entering senior secondary school can attend either a more academically oriented school or vocational school. This applies in both the Islamic and non-Islamic systems. Formal senior secondary education comprises general education (sekolah menengah atas, or SMA), vocational education (sekolah menengah kejuruan, or SMK), Islamic senior secondary schools (madrasah aliyah, or MA) and Islamic vocational education (madrasah aliyah kejuruan, or MAK). This chapter concentrates largely on the provision of academic senior secondary education, while Chapter 5 considers the vocational side. Work is under way to develop community colleges and alternative routes to further and higher education.",['4'],0.35931456,0,1,1
